# World Detailed Checksums
# Format: TYPE VNUM CHECKSUM

# Zones
ZONE 829 27534C4A
ZONE 830 57550B39
ZONE 842 69312AE0
ZONE 850 69B4E8EF
ZONE 851 DE27048B
ZONE 852 AAD1E367
ZONE 855 A3A1CCBE
ZONE 856 58561FEE
ZONE 861 A71F3FE1
ZONE 862 254AACBA
ZONE 863 F0607EE0
ZONE 864 BA6F3538
ZONE 865 E7EB0F73
ZONE 866 CF59C89E
ZONE 870 50DB8A9F
ZONE 871 68C295A8
ZONE 877 0E41C657
ZONE 888 FA77EB73
ZONE 899 7F5389A3
ZONE 900 010F6511
ZONE 901 58CDE6E7
ZONE 905 5657751B
ZONE 906 0D44E962
ZONE 909 EBCBBF27
ZONE 910 92D215E2
ZONE 911 4C5750D5
ZONE 912 349312C2
ZONE 914 1D8B6292
ZONE 915 28152E47
ZONE 916 BB6E4AF6
ZONE 917 06F943BB
ZONE 918 71EAFD12
ZONE 919 AA200C07
ZONE 920 6152D3A9
ZONE 921 2D150052
ZONE 922 40FFBB31
ZONE 923 F816C29E
ZONE 924 D30E425F
ZONE 925 C56C34CE
ZONE 926 B0BE5D70
ZONE 927 4904D917
ZONE 932 5E754783
ZONE 935 4F1D1A5B
ZONE 936 B837754E
ZONE 940 3DE32311
ZONE 941 5EFCCE8C
ZONE 951 52465880
ZONE 952 CBE9507B
ZONE 954 21AF3ECD
ZONE 955 D54CC3CC
ZONE 960 BE8EF5D6
ZONE 961 776C6C51
ZONE 962 94E90707
ZONE 963 AA940A5E
ZONE 964 8D4EC71D
ZONE 965 322CEB96
ZONE 970 99F68CEF
ZONE 971 309736F1
ZONE 972 F7B1B6E9
ZONE 973 F4D4C3B9
ZONE 974 945932AB
ZONE 975 D3DFA33C
ZONE 976 8DC3120C
ZONE 977 2C904F93
ZONE 978 5CAFCCBE
ZONE 979 93E7EF92
ZONE 980 673F2E3E
ZONE 981 ED79AA07
ZONE 982 ADAF0638
ZONE 983 23F8137C
ZONE 984 0A05FE64
ZONE 985 C2661F78
ZONE 986 BD1A62DA
ZONE 987 31929C0F
ZONE 988 CECB0F70
ZONE 989 148D9D61
ZONE 990 B4D293EF
ZONE 991 C2900DE9
ZONE 995 38BEEEF9
ZONE 996 A8B0BF06
ZONE 997 E7AA8A16
ZONE 998 6D054FFD
ZONE 999 3AC71048
ZONE 1000 2119692A
ZONE 1001 AEA18568
ZONE 1002 436A1B64
ZONE 1003 1DCA0683
ZONE 1004 6B19C7D3
ZONE 1010 B4EFB93C
ZONE 1020 A705A81B
ZONE 1021 AFCD6627
ZONE 1022 FE780191
ZONE 1023 77C697B3
ZONE 1024 7D1D79DF
ZONE 1040 D2763E0C
ZONE 1043 C80CD074
ZONE 1051 24EE4BE6
ZONE 1052 954D664F
ZONE 1104 356D4194
ZONE 1252 59C3B12B
ZONE 1253 55A6BF3B
ZONE 1254 06D46702
ZONE 1255 FD4E181E
ZONE 1616 076C2445
ZONE 1890 D2507D56
ZONE 1891 0E6BA46E
ZONE 1892 B1343ABD
ZONE 2000 26C6F718
ZONE 2001 E511D300
ZONE 2002 F90207F6
ZONE 2003 0E32C214
ZONE 2004 1D3EBB5D
ZONE 2005 21A65C6A
ZONE 2012 2CD12820
ZONE 2013 521E3C81
ZONE 2014 EDE40400
ZONE 2015 70E0BB52
ZONE 2019 60483D94
ZONE 2021 D4F028E8
ZONE 3333 1A85CFEC
ZONE 10012 9C0A0A2A
ZONE 10023 6C1AAF18
ZONE 30000 659B2A4D
